orderId,customerId,amount,orderDate
52588944,58063,0,2018-03-20 06:52:06
52588946,367770,945,2018-03-20 08:55:40
52588942,9328591,1956,2018-03-20 09:32:21
52588945,0,0,2018-03-20 09:37:42
52588955,61093,2185,2018-03-21 08:25:58
52588954,9967,1395,2018-03-21 10:13:10
52588951,1824757,1058,2018-03-21 10:27:48
52588952,9328592,808,2018-03-21 10:32:37
52588953,9328593,585,2018-03-21 11:04:21
52588957,2190438,0,2018-03-22 06:42:53
52588958,6095894,0,2018-03-22 07:15:25
52588960,670,1868,2018-03-22 08:08:37
52588956,63585,896,2018-03-22 08:49:35
52588959,164143,1375,2018-03-22 09:05:39
52588964,30260,950,2018-03-23 05:42:13
52588962,62556,1170,2018-03-23 06:13:06
52588963,0,1040,2018-03-23 10:07:02
52588961,69250,1545,2018-03-23 11:09:46
52588972,182593,2961,2018-03-24 08:03:17
52588968,148428,3230,2018-03-24 08:17:47
52588969,212103,1951,2018-03-24 08:37:31
52588967,320995,1545,2018-03-24 09:01:22
52588970,1651068,1791,2018-03-24 09:11:11
52588966,85420,585,2018-03-24 10:16:40
52588973,215165,6218,2018-03-24 10:51:09
52588965,162835,2045,2018-03-24 11:37:56
52588971,397268,1040,2018-03-24 11:46:12
52588983,241907,3551,2018-03-25 07:11:18
52588976,1679129,2636,2018-03-25 07:26:22
52588979,69526,0,2018-03-25 07:29:46
52588982,5570797,2590,2018-03-25 07:50:10
52588981,68694,1305,2018-03-25 08:10:38
52588980,5570797,1500,2018-03-25 08:17:04
52588974,121297,3095,2018-03-25 08:49:40
52588975,0,0,2018-03-25 09:12:03
52588977,0,895,2018-03-25 09:24:31
52588978,138956,3011,2018-03-25 09:52:52
52588984,7050968,3096,2018-03-26 07:27:17
52588985,899,1300,2018-03-26 08:09:28
52588986,84233,1080,2018-03-26 10:59:10
52588990,0,2392,2018-03-27 05:50:38
52588989,2025534,0,2018-03-27 08:08:46
52588987,41230,1305,2018-03-27 08:42:07
52588988,10240,3456,2018-03-27 09:40:23
52588991,147842,2376,2018-03-27 10:43:49
52588992,164694,1645,2018-03-28 07:41:45
52588996,0,1256,2018-03-28 07:54:06
52588998,6122387,0,2018-03-28 07:55:52
52588995,71433,3321,2018-03-28 08:04:59
52588994,307236,0,2018-03-28 08:29:31
52588997,6919,1050,2018-03-28 08:50:41
52588993,44983,895,2018-03-28 08:52:43
52588999,840725,6935,2018-03-29 06:59:11
52589003,1986711,0,2018-03-29 07:09:07
52589000,129261,1305,2018-03-29 08:32:22
52589002,42759,2420,2018-03-29 09:01:31
52589004,2177568,0,2018-03-29 09:47:19
52589001,131350,1080,2018-03-29 09:56:48
52589005,1589388,1395,2018-03-29 10:48:29
52589010,0,3870,2018-03-30 06:46:20
52589011,63859,6615,2018-03-30 07:24:22
52589009,69250,650,2018-03-30 07:45:09
52589008,148428,2796,2018-03-30 08:45:48
52589007,15551,1391,2018-03-30 09:11:39
52589006,1696145,1395,2018-03-30 10:09:46
52589012,840725,6835,2018-03-31 06:34:38
52589013,533519,896,2018-03-31 08:42:02
52589017,899,1300,2018-04-01 07:51:31
52589018,6680637,405,2018-04-01 08:26:07
52589019,0,650,2018-04-01 10:15:18
52589022,1758894,3321,2018-04-02 09:01:28
52589021,208673,1940,2018-04-02 10:34:52
52589020,208673,2040,2018-04-02 10:40:36
52589025,1696145,650,2018-04-03 09:21:35
52589024,41248,405,2018-04-03 10:20:06
52589023,11366,1305,2018-04-03 10:30:33
52589029,8138648,3392,2018-04-04 07:48:16
52589028,8138648,1636,2018-04-04 08:03:44
52589031,121297,3395,2018-04-04 09:00:58
52589027,9107,1305,2018-04-04 10:05:21
52589026,214394,4235,2018-04-04 10:17:46
52589030,17781,3096,2018-04-04 10:43:19
52589037,1694213,1990,2018-04-06 07:01:32
52589035,840725,5007,2018-04-06 07:56:08
52589039,18407,0,2018-04-06 07:58:54
52589034,4491,895,2018-04-06 08:16:27
52589038,1697926,2856,2018-04-06 08:21:45
52589033,397268,2533,2018-04-06 09:12:29
52589036,840725,846,2018-04-06 09:55:23
52589032,68785,1305,2018-04-06 11:02:24
52589042,9328594,170,2018-04-07 06:30:54
52589041,5879303,5090,2018-04-07 07:48:58
52589044,110759,1170,2018-04-07 07:56:55
52589040,181009,405,2018-04-07 08:41:09
52589043,9107,945,2018-04-07 10:43:37
52589045,181896,1375,2018-04-08 08:23:38
52589050,211677,734,2018-04-08 09:03:36
52589049,9107,0,2018-04-08 09:19:30
52589046,16185,600,2018-04-08 09:57:04
52589047,147744,855,2018-04-08 10:30:01
52589051,68785,3101,2018-04-08 10:30:13
52589048,147744,100,2018-04-08 10:31:33
52589054,159393,995,2018-04-09 06:51:17
52589056,2106080,990,2018-04-09 08:44:17
52589055,30205,2696,2018-04-09 09:02:44
52589052,2047111,3515,2018-04-09 09:34:09
52589053,234816,855,2018-04-09 11:59:44
52589062,153244,1900,2018-04-10 08:40:56
52589058,6087667,0,2018-04-10 08:45:41
52589061,8970,1530,2018-04-10 09:04:18
52589059,65293,3191,2018-04-10 09:47:24
52589060,2869835,806,2018-04-10 10:26:48
52589057,6926335,855,2018-04-10 11:03:25
52589069,4491,2490,2018-04-11 06:21:35
52589064,153244,0,2018-04-11 07:56:56
52589063,3270,2045,2018-04-11 08:17:30
52589066,77695,3295,2018-04-11 08:25:21
52589068,196615,1645,2018-04-11 08:33:54
52589067,214394,1571,2018-04-11 09:19:06
52589070,214394,1350,2018-04-11 09:22:44
52589065,3270,1545,2018-04-11 10:07:05
52589071,1942174,0,2018-04-12 07:49:54
52589074,100456,0,2018-04-12 08:26:56
52589075,105196,2595,2018-04-12 08:45:41
52589073,39889,3307,2018-04-12 08:57:48
52589072,165866,180,2018-04-12 09:50:26
52589077,840725,2036,2018-04-13 09:40:08
52589080,0,550,2018-04-13 10:21:09
52589081,16185,2023,2018-04-13 10:32:01
52589079,41542,3940,2018-04-13 11:04:17
52589076,75757,1745,2018-04-13 11:16:02
52589078,9148,765,2018-04-13 11:55:34
52589082,148502,0,2018-04-14 06:12:24
52589083,1694213,1890,2018-04-14 07:42:14
52589084,208919,1305,2018-04-14 08:32:23
52589088,279669,585,2018-04-15 08:03:30
52589090,6714701,0,2018-04-15 08:20:01
52589086,35456,2781,2018-04-15 08:39:02
52589085,1716724,0,2018-04-15 09:19:17
52589089,1888786,698,2018-04-15 09:39:42
52589091,329299,1841,2018-04-15 10:57:07
52589087,0,0,2018-04-15 11:20:14
52589094,4516506,1575,2018-04-16 05:49:19
52589092,135074,2020,2018-04-16 08:03:15
52589093,832513,3060,2018-04-16 08:45:54
52589095,1825166,855,2018-04-16 10:25:38
52589101,397268,813,2018-04-17 06:58:01
52589102,4677,2066,2018-04-17 08:46:20
52589103,199320,0,2018-04-18 06:55:48
52589109,3791396,0,2018-04-18 07:58:05
52589106,8789,1240,2018-04-18 09:29:18
52589105,0,1956,2018-04-18 10:13:02
52589110,214394,1360,2018-04-18 10:25:19
52589108,214394,680,2018-04-18 10:33:29
52589104,173355,680,2018-04-18 10:34:44
52589107,430480,1432,2018-04-18 10:46:21
52589115,1694962,0,2018-04-19 07:19:39
52589111,44804,0,2018-04-19 07:28:43
52589117,2007382,1170,2018-04-19 07:32:45
52589116,119286,320,2018-04-19 07:39:59
52589118,5397641,1300,2018-04-19 07:52:56
52589114,9326448,1316,2018-04-19 08:05:53
52589113,16185,475,2018-04-19 09:22:04
52589112,1600634,360,2018-04-19 09:52:14
52589129,1692584,1040,2018-04-20 07:54:10
52589125,310065,1450,2018-04-20 08:02:23
52589120,70691,2808,2018-04-20 08:11:16
52589130,9328595,3320,2018-04-20 08:33:42
52589128,19397,1116,2018-04-20 08:42:28
52589124,0,2898,2018-04-20 08:56:19
52589122,129991,525,2018-04-20 09:00:45
52589127,163612,1160,2018-04-20 09:03:30
52589121,23510,2345,2018-04-20 09:28:22
52589123,45206,620,2018-04-20 09:32:07
52589126,215074,2236,2018-04-20 09:49:58
52589131,36791,9790,2018-04-20 11:07:19
52589132,52151,1360,2018-04-20 11:29:08
52589140,533519,2000,2018-04-21 08:00:17
52589133,115486,2685,2018-04-21 08:03:46
52589137,201211,895,2018-04-21 08:22:57
52589136,149291,2400,2018-04-21 08:37:36
52589139,0,0,2018-04-21 09:07:00
52589138,154917,840,2018-04-21 10:22:55
52589135,2870557,1845,2018-04-21 10:52:12
52589134,1825166,840,2018-04-21 11:24:51
52589168,211892,1450,2018-04-22 07:26:00
52589172,1866948,1160,2018-04-22 07:33:49
52589167,1866948,760,2018-04-22 07:34:51
52589160,469557,1876,2018-04-22 07:39:26
52589165,1095,760,2018-04-22 07:43:28
52589163,397268,850,2018-04-22 08:22:21
52589159,23510,1450,2018-04-22 08:37:30
52589170,41248,360,2018-04-22 08:59:18
52589171,1669347,760,2018-04-22 09:26:25
52589169,6531612,0,2018-04-22 09:34:15
52589157,6563796,0,2018-04-22 09:38:58
52589166,427615,360,2018-04-22 10:03:58
52589162,565215,360,2018-04-22 10:18:00
52589158,148462,3520,2018-04-22 10:18:32
52589161,61093,2120,2018-04-22 10:40:51
52589164,6624859,1876,2018-04-22 11:01:09
52589156,15836,3595,2018-04-22 11:40:28
52589175,559575,0,2018-04-23 08:19:18
52589174,201211,716,2018-04-23 09:31:27
52589173,162185,895,2018-04-23 09:37:18
52589186,0,2472,2018-04-24 05:31:31
52589182,119550,0,2018-04-24 07:30:23
52589184,212398,1316,2018-04-24 09:13:12
52589181,148375,4095,2018-04-24 09:16:47
52589179,0,1360,2018-04-24 09:18:40
52589185,5882074,620,2018-04-24 09:52:53
52589183,345968,360,2018-04-24 11:30:44
52589180,49867,1556,2018-04-24 11:55:51
52589188,135074,4131,2018-04-25 08:08:58
52589187,40988,440,2018-04-25 10:00:12
52589189,554396,440,2018-04-25 11:12:54
52589196,9328598,1790,2018-04-26 06:46:24
52589199,9328599,1395,2018-04-26 07:31:38
52589195,214394,2236,2018-04-26 08:31:08
52589193,187,1375,2018-04-26 08:59:16
52589191,15523,1040,2018-04-26 09:38:00
52589194,5992230,0,2018-04-26 10:02:27
52589192,60491,1160,2018-04-26 10:18:14
52589198,9328597,1295,2018-04-26 10:30:15
52589190,9328597,650,2018-04-26 10:53:21
52589197,173355,1450,2018-04-26 11:16:49
52589212,599138,3350,2018-04-27 06:38:46
52589205,599138,550,2018-04-27 07:48:11
52589207,5291,1116,2018-04-27 08:03:35
52589206,2699296,0,2018-04-27 08:11:55
52589202,233085,1700,2018-04-27 08:25:22
52589211,1649055,360,2018-04-27 09:44:16
52589209,9328600,760,2018-04-27 09:59:24
52589201,16474,620,2018-04-27 10:03:03
52589203,348370,1160,2018-04-27 10:09:10
52589210,181009,1556,2018-04-27 10:13:22
52589204,335843,600,2018-04-27 10:18:20
52589208,188465,1476,2018-04-27 11:44:04
52589230,1996083,2796,2018-04-28 07:04:28
52589229,115486,2072,2018-04-28 08:04:01
52589225,2146117,0,2018-04-28 08:16:31
52589227,160289,1040,2018-04-28 08:54:58
52589228,179467,0,2018-04-28 09:44:36
52589224,7676,1160,2018-04-28 10:13:30
52589222,1626258,5968,2018-04-28 10:13:54
52589226,260166,1160,2018-04-28 10:15:26
52589223,70690,4640,2018-04-28 10:44:50
52589231,430480,716,2018-04-28 11:12:41
52589242,1292103,7410,2018-04-29 07:18:23
52589232,39543,2985,2018-04-29 08:31:47
52589237,243667,360,2018-04-29 08:40:06
52589240,213919,2250,2018-04-29 08:53:22
52589238,1696145,2790,2018-04-29 09:18:46
52589236,1696145,2592,2018-04-29 09:30:34
52589233,60865,2592,2018-04-29 09:55:02
52589241,6663958,716,2018-04-29 10:02:36
52589239,108207,1116,2018-04-29 10:23:02
52589235,187513,440,2018-04-29 10:40:30
52589243,130472,2045,2018-04-29 10:47:10
52589234,121297,3495,2018-04-29 11:47:31
52589245,6041733,2325,2018-04-30 08:03:56
52589246,43421,1770,2018-04-30 09:13:25
52589248,0,1050,2018-04-30 09:32:40
52589244,133650,1480,2018-04-30 10:00:15
52589247,176218,360,2018-04-30 10:15:16
52589254,1867227,0,2018-05-01 08:12:36
52589253,2721470,1116,2018-05-01 08:30:33
52589249,1600935,360,2018-05-01 09:05:20
52589251,4516506,1175,2018-05-01 09:24:15
52589252,163612,3395,2018-05-01 10:12:03
52589250,280768,1295,2018-05-01 10:22:48
52589262,5896621,405,2018-05-02 07:48:13
52589258,589008,855,2018-05-02 08:20:10
52589261,1999552,846,2018-05-02 08:44:49
52589260,2146117,0,2018-05-02 08:46:33
52589259,172969,1050,2018-05-02 09:30:06
52589257,553393,2048,2018-05-02 09:55:09
52589263,16185,1123,2018-05-02 10:23:06
52589269,214835,2265,2018-05-03 07:51:03
52589266,212220,1305,2018-05-03 08:02:04
52589264,366669,1775,2018-05-03 08:20:31
52589271,60324,761,2018-05-03 08:34:00
52589265,307030,1751,2018-05-03 09:00:47
52589267,39900,1481,2018-05-03 10:13:18
52589268,9807,360,2018-05-03 10:36:14
52589270,1699226,360,2018-05-03 11:51:41
52589276,40054,1755,2018-05-04 07:25:00
52589278,59595,2876,2018-05-04 07:54:00
52589280,593540,1305,2018-05-04 08:12:56
52589275,2146164,4245,2018-05-04 08:15:34
52589281,0,650,2018-05-04 08:32:56
52589277,2023522,2070,2018-05-04 09:26:08
52589279,148428,895,2018-05-04 10:17:51
52589282,316862,675,2018-05-04 10:40:39
52589274,161060,1350,2018-05-04 11:30:52
52589273,316002,1305,2018-05-04 11:33:55
52589287,1626755,1350,2018-05-05 08:14:46
52589284,2020165,1670,2018-05-05 08:25:26
52589285,41914,2376,2018-05-05 08:28:02
52589290,174014,1170,2018-05-05 08:34:41
52589283,106369,585,2018-05-05 08:37:39
52589286,82321,2785,2018-05-05 09:09:00
52589288,4577866,1931,2018-05-05 09:14:40
52589291,35602,1050,2018-05-05 10:13:22
52589289,316634,950,2018-05-05 11:00:53
52589292,212370,450,2018-05-05 11:19:31
52589303,348398,1305,2018-05-06 07:38:04
52589306,9329606,1645,2018-05-06 07:55:55
52589307,36829,2880,2018-05-06 08:02:46
52589308,20098,698,2018-05-06 08:33:36
52589302,43421,1390,2018-05-06 08:49:49
52589300,41248,995,2018-05-06 10:28:41
52589305,19852,293,2018-05-06 10:38:10
52589299,6440150,585,2018-05-06 10:45:02
52589301,6497449,405,2018-05-06 10:49:50
52589304,75579,1841,2018-05-06 11:32:38
52589311,346480,1170,2018-05-07 08:18:09
52589309,1987238,1076,2018-05-07 08:41:19
52589310,4601759,1166,2018-05-07 09:30:59
52589323,129991,1050,2018-05-08 05:57:21
52589318,16185,13740,2018-05-08 07:43:36
52589321,1585137,2151,2018-05-08 08:02:56
52589317,4369727,1755,2018-05-08 08:36:03
52589316,6723988,4244,2018-05-08 08:42:01
52589319,90132,405,2018-05-08 08:56:45
52589322,582763,1305,2018-05-08 09:00:18
52589313,1887411,356,2018-05-08 09:46:24
52589312,0,2090,2018-05-08 09:49:29
52589315,6723988,1100,2018-05-08 09:57:04
52589320,12747,2940,2018-05-08 11:16:13
52589314,44980,855,2018-05-08 11:48:03
52589325,5896621,855,2018-05-09 08:33:33
52589324,2870646,405,2018-05-09 11:25:07
52589326,129991,325,2018-05-10 05:45:40
52589327,1626960,698,2018-05-10 08:09:23
52589328,110600,1350,2018-05-10 09:03:13
52589339,7102346,1623,2018-05-11 07:25:35
52589337,9326448,2074,2018-05-11 07:37:25
52589334,1947659,1450,2018-05-11 07:48:40
52589338,366161,2750,2018-05-11 08:04:28
52589336,56515,1391,2018-05-11 09:47:45
52589333,1712601,360,2018-05-11 09:58:42
52589331,1981596,1600,2018-05-11 10:14:42
52589332,130472,3495,2018-05-11 10:42:19
52589329,42085,585,2018-05-11 10:57:10
52589340,185032,775,2018-05-11 11:23:57
52589335,426033,1611,2018-05-11 11:56:30
52589330,4669236,405,2018-05-11 11:58:46
52589342,51269,1256,2018-05-12 09:27:36
52589344,9774,1526,2018-05-12 09:34:46
52589345,51269,1256,2018-05-12 09:53:36
52589346,9774,1526,2018-05-12 09:55:13
52589343,199703,855,2018-05-12 09:57:51
